# This is part of the Z-Move plugin for Essentials v18.1.
# 
# This file is NOT officially an Essentials PBS file.
# If you want to add a new Z-move, check the README provided with this plugin.
# zcrystal,type,specificmove,specificfspecies,zmoveid
#-------------------------------
# Specific Z-Compatibility
#-------------------------------
PIKANIUMZ,,VOLTTACKLE,PIKACHU,CATASTROPIKA
DECIDIUMZ,,SPIRITSHACKLE,DECIDUEYE,SINISTERARROWRAID
INCINIUMZ,,DARKESTLARIAT,INCINEROAR,MALICIOUSMOONSAULT
PRIMARIUMZ,,SPARKLINGARIA,PRIMARINA,OCEANICOPERETTA
TAPUNIUMZ,,NATURESMADNESS,TAPUKOKO,GUARDIANOFALOLA
TAPUNIUMZ,,NATURESMADNESS,TAPULELE,GUARDIANOFALOLA
TAPUNIUMZ,,NATURESMADNESS,TAPUBULU,GUARDIANOFALOLA
TAPUNIUMZ,,NATURESMADNESS,TAPUFINI,GUARDIANOFALOLA
MARSHADIUMZ,,SPECTRALTHIEF,MARSHADOW,SOULSTEALING7STARSTRIKE
ALORAICHIUMZ,,THUNDERBOLT,RAICHU_1,STOKEDSPARKSURFER
SNORLIUMZ,,GIGAIMPACT,SNORLAX,PULVERIZINGPANCAKE
EEVIUMZ,,LASTRESORT,EEVEE,EXTREMEEVOBOOST
MEWNIUMZ,,PSYCHIC,MEW,GENESISSUPERNOVA
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_3,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_4,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_5,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_6,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_7,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_8,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_9,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_10,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_11,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_12,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_13,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_14,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_15,TENMILLIONVOLTTUNDERBOLT
PIKASHUNIUMZ,,THUNDERBOLT,PIKACHU_16,TENMILLIONVOLTTUNDERBOLT
KOMMONIUMZ,,CLANGINGSCALES,KOMMOO,CLANGOROUSSOULBLAZE
LYCANIUMZ,,STONEEDGE,LYCANROC,SPLINTEREDSTORMSHARDS
LYCANIUMZ,,STONEEDGE,LYCANROC_1,SPLINTEREDSTORMSHARDS
LYCANIUMZ,,STONEEDGE,LYCANROC_2,SPLINTEREDSTORMSHARDS
MIMIKIUMZ,,PLAYROUGH,MIMIKYU,LETSSNUGGLEFOREVER
MIMIKIUMZ,,PLAYROUGH,MIMIKYU_1,LETSSNUGGLEFOREVER
SOLGANIUMZ,,SUNSTEELSTRIKE,SOLGALEO,SEARINGSUNRAZESMASH
SOLGANIUMZ,,SUNSTEELSTRIKE,NECROZMA_1,SEARINGSUNRAZESMASH
LUNALIUMZ,,MOONGEISTBEAM,LUNALA,MENACINGMOONRAZEMAELSTROM
LUNALIUMZ,,MOONGEISTBEAM,NECROZMA_2,MENACINGMOONRAZEMAELSTROM
ULTRANECROZIUMZ,,PHOTONGEYSER,NECROZMA_1,LIGHTTHATBURNSTHESKY
ULTRANECROZIUMZ,,PHOTONGEYSER,NECROZMA_2,LIGHTTHATBURNSTHESKY
ULTRANECROZIUMZ,,PHOTONGEYSER,NECROZMA_3,LIGHTTHATBURNSTHESKY
ULTRANECROZIUMZ,,PHOTONGEYSER,NECROZMA_4,LIGHTTHATBURNSTHESKY
#-------------------------------
# Generic Z-Compatibility
#-------------------------------
NORMALIUMZ,NORMAL,,,BREAKNECKBLITZ
FIRIUMZ,FIRE,,,INFERNOOVERDRIVE
WATERIUMZ,WATER,,,HYDROVORTEX
ELECTRIUMZ,ELECTRIC,,,GIGAVOLTHAVOC
GRASSIUMZ,GRASS,,,BLOOMDOOM
ICIUMZ,ICE,,,SUBZEROSLAMMER
FIGHTINIUMZ,FIGHTING,,,ALLOUTPUMMELING
POISONIUMZ,POISON,,,ACIDDOWNPOUR
GROUNDIUMZ,GROUND,,,TECTONICRAGE
FLYINIUMZ,FLYING,,,SUPERSONICSKYSTRIKE
PSYCHIUMZ,PSYCHIC,,,SHATTEREDPSYCHE
BUGINIUMZ,BUG,,,SAVAGESPINOUT
ROCKIUMZ,ROCK,,,CONTINENTALCRUSH
GHOSTIUMZ,GHOST,,,NEVERENDINGNIGHTMARE
DRAGONIUMZ,DRAGON,,,DEVASTATINGDRAKE
DARKINIUMZ,DARK,,,BLACKHOLEECLIPSE
STEELIUMZ,STEEL,,,CORKSCREWCRASH
FAIRIUMZ,FAIRY,,,TWINKLETACKLE
